Name;Description;RecipeCategory;Calories;FatContent;SaturatedFatContent;CholesterolContent;SodiumContent;CarbohydrateContent;FiberContent;SugarContent;ProteinContent
Low-Fat Berry Blue Frozen Dessert;Make and share this Low-Fat Berry Blue Frozen Dessert recipe from Food.com.;Frozen Desserts;170.9;2.5;1.3;8.0;29.8;37.1;3.6;30.2;3.2
Biryani;Make and share this Biryani recipe from Food.com.;Chicken Breast;1110.7;58.8;16.6;372.8;368.4;84.4;9.0;20.4;63.4
Best Lemonade;This is from one of my  first Good House Keeping cookbooks.  You must use a *zester* in order to avoid getting any of that bitter rind, and when you zest the lemons, zest them onto some sugar from the recipe (the sugar will 'catch' all of the oils).  I also advise you from personal experience to use only the best skinned lemons for the best flavor.;Beverages;311.1;0.2;0.0;0.0;1.8;81.5;0.4;77.2;0.3
Carina's Tofu-Vegetable Kebabs;This dish is best prepared a day in advance to allow the ingredients to soak in  the marinade overnight.;Soy/Tofu;536.1;24.0;3.8;0.0;1558.6;64.2;17.3;32.1;29.3
Cabbage Soup;Make and share this Cabbage Soup recipe from Food.com.;Vegetable;103.6;0.4;0.1;0.0;959.3;25.1;4.8;17.7;4.3
Best Blackbottom Pie;Make and share this Best Blackbottom Pie recipe from Food.com.;Pie;437.9;19.3;10.9;94.3;267.6;58.0;1.8;42.5;7.0
Warm Chicken A La King;I copied this one out of a friend's book so many moons ago that I can't remember where it's from, but it's so decadently fattening that I can't resist pigging out now and then.  I  usually serve with rice, but I suppose it would go with noodles or new potatoes  just as well.;Chicken;895.5;66.8;31.9;405.8;557.2;29.1;3.1;5.0;45.3
Buttermilk Pie With Gingersnap Crumb Crust;Make and share this Buttermilk Pie With Gingersnap Crumb Crust recipe from Food.com.;Pie;228.0;7.1;1.7;24.5;281.8;37.5;0.5;24.7;4.2
A Jad - Cucumber Pickle;Make and share this A Jad - Cucumber Pickle recipe from Food.com.;Vegetable;4.3;0.0;0.0;0.0;0.7;1.1;0.2;0.2;0.1
Butter Pecan Cookies;Make and share this Butter Pecan Cookies recipe from Food.com.;Dessert;69.0;5.6;1.4;6.3;15.0;4.5;0.6;1.6;0.8
Boston Cream Pie;Make and share this Boston Cream Pie recipe from Food.com.;Pie;688.2;36.4;12.9;105.9;722.3;84.0;1.6;46.2;8.8
Chicken Breasts Lombardi;Make and share this Chicken Breasts Lombardi recipe from Food.com.;Chicken Breast;627.7;24.9;13.0;203.0;848.9;13.7;0.6;2.0;57.9
Biscotti Di Prato;Make and share this Biscotti Di Prato recipe from Food.com.;Dessert;89.4;2.6;0.3;16.6;23.5;14.5;0.8;7.3;2.3
Chai Tea;Make and share this Chai Tea recipe from Food.com.;Beverages;69.2;3.8;2.1;12.8;53.2;6.0;0.7;0.0;3.5
Cafe Cappuccino;Make and share this Cafe Cappuccino recipe from Food.com.;Beverages;62.2;0.1;0.0;1.3;36.6;12.8;0.0;11.8;2.7
Jimmy G's Carrot Cake;Make and share this Jimmy G's Carrot Cake recipe from Food.com.;Dessert;372.9;10.6;3.2;62.0;190.0;66.2;3.4;40.9;6.6
Carrot Cake;This is one of the few recipes my husband every requested from a coworker and brought home for me to make.;Dessert;522.6;27.1;4.9;69.8;534.8;67.0;1.6;47.9;5.0
Betty Crocker's Southwestern Guacamole Dip;Make and share this Betty Crocker's Southwestern Guacamole Dip recipe from Food.com.;Southwestern U.S.;415.9;36.9;5.4;0.0;310.6;24.9;17.3;2.8;5.5
