Restaurant ID;Restaurant Name;Country;City;Address;Locality Verbose;Longitude;Latitude;Cuisines;Currency;Has Table booking;Has Online delivery;Is delivering now;Switch to order menu;Price range;Aggregate rating;Rating color;Rating text;Votes;Nummber of dishes in cuisines;Average cost of two in USD
1600219;12212;India;Nashik;Shop 10, Ramrajya Building 7, Samarth Nagar, Next to Bhonsala Military school, College Road, Nashik;College Road, Nashik;73.75463597;20.00669049;Fast Food;Indian Rupees(Rs.);0;0;0;0;2;3.5;3.7;3;80;1;4.664
17057397;'Ohana;USA;Orlando;1600 Seven Seas Drive, Lake Buena Vista, FL 32830;Disney World Area, Orlando;-81.585226;28.405437;Hawaiian;Dollar($);0;0;0;0;3;4.5;4.65;5;1151;1;45.0
18222559;{Niche} - Cafe & Bar;India;New Delhi;2nd & 3rd Floor, M-16, M Block, Outer Circle, Connaught Place, New Delhi;Connaught Place, New Delhi;77.2225074;28.6315156;North Indian, Chinese, Italian, Continental;Indian Rupees(Rs.);1;0;0;0;3;4.1;4.25;4;492;4;17.490000000000002
113702;@Mango;India;Ahmedabad;Opposite Sindhu Bhawan, Bodakdev, Ahmedabad;Bodakdev, Ahmedabad;72.5017644;23.0401633;North Indian, Continental, Mexican, Italian;Indian Rupees(Rs.);0;0;0;0;3;4.1;4.25;4;769;4;9.328
3100446;#45;India;Mangalore;Ground Floor, Trinity Commercial Complex, Near Central Railway Station, Attavara Road, Attavar, Mangalore;Attavar, Mangalore;0.0;0.0;Cafe;Indian Rupees(Rs.);0;0;0;0;2;3.6;3.7;3;209;1;6.996
18378803;#Dilliwaala6;India;Puducherry;6, Rue De La Marine, White Town, Puducherry;White Town, Puducherry;79.83481014;11.9365319;North Indian;Indian Rupees(Rs.);0;0;0;0;3;3.7;3.7;3;124;1;9.328
18489842;#hashtag;India;New Delhi;1092/1, Mehrauli Bus Stand, Mehrauli, New Delhi;Mehrauli, New Delhi;77.1818649;28.5222051;Cafe;Indian Rupees(Rs.);0;0;0;0;2;0.0;0.0;0;0;1;5.83
18311951;#InstaFreeze;India;New Delhi;B-17, Alaknanda Shopping Complex, Alaknanda, New Delhi;Alaknanda, New Delhi;77.253694;28.52542;Ice Cream;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;2;1;3.498
18336489;#OFF Campus;India;New Delhi;284, Opposite Sri Venkateshwara College, Satyaniketan, New Delhi;Satyaniketan, New Delhi;77.1687371;28.5885208;Cafe, Continental, Italian, Fast Food;Indian Rupees(Rs.);1;1;0;0;2;3.7;3.7;3;216;4;9.328
18317511;#Urban Cafï¿½ï¿½;India;Noida;LG-06, Amrapali Arcade 1, Amrapali Sapphire, Sector 45, Noida;Sector 45, Noida;77.3441526;28.5485744;North Indian, Chinese, Italian;Indian Rupees(Rs.);0;1;0;0;2;3.3;2.95;2;49;3;7.579
1400121;10 Downing Street;India;Indore;Second Floor, Malhar Mega Mall, AB Road, Scheme 54, Vijay Nagar, Indore;Vijay Nagar, Indore;75.8943769;22.744648;North Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;4;4.0;4.25;4;413;2;17.490000000000002
2600031;10 Downing Street;India;Bhopal;Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal;DB City, Maharana Pratap Nagar, Bhopal;77.429989;23.232357;North Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;3;4.0;4.25;4;257;2;11.66
7601106;10 To 10 In Delhi;UK;Edinburgh;67 Nicolson Street, Old Town, Edinburgh EH8 9BE;Old Town, Edinburgh;-3.184344444;55.94543056;Indian, Cafe;Pounds(ï¿½ï¿½);0;0;0;0;2;3.8;3.7;3;73;2;24.844
2100784;11th Avenue Cafe Bistro;India;Guwahati;Opposite Assam State Museum, Dighalipukhuri, Tayabullah Road, Uzan Bazaar, Guwahati;Uzan Bazaar, Guwahati;91.75231431;26.18600148;Cafe, American, Italian, Continental;Indian Rupees(Rs.);0;0;0;0;2;4.1;4.25;4;377;4;4.664
18430898;13 Cafe;India;New Delhi;4/175, Subhash Nagar, New Delhi;Subhash Nagar, New Delhi;77.1126948;28.6372986;Cafe;Indian Rupees(Rs.);0;0;0;0;2;0.0;0.0;0;0;1;5.83
18233317;145 Kala Ghoda;India;Mumbai;145, Kala Ghoda, Fort, Mumbai;Fort, Mumbai;72.83258457;18.92758399;Fast Food, Beverages, Desserts;Indian Rupees(Rs.);0;0;0;0;3;4.2;4.25;4;1606;3;17.490000000000002
18361752;17 Degree Food Service;India;New Delhi;Shop 41/1, Hari Complex 304, Garhi, East of Kailash, New Delhi;East of Kailash, New Delhi;0.0;0.0;North Indian;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;1;1;3.0316
4000031;17 Degrees;India;Patna;6th Floor, P&M Mall, Patliputra Colony, Patna;Patliputra Colony, Patna;85.106207;25.634209;North Indian, Chinese, Continental, Italian;Indian Rupees(Rs.);0;0;0;0;3;3.5;3.7;3;151;4;13.992
6506206;18 Degrees Resto Lounge;India;Pune;8th & 9th Floor, Spot 18 Mall, Pimple Saudagar, Pune;Spot 18 Mall, Pimple Saudagar, Pune;73.785901;18.59348149;North Indian, Mediterranean, Chinese;Indian Rupees(Rs.);1;1;0;0;4;3.6;3.7;3;1566;3;24.486
18408054;19 Flavours Biryani;India;Gurgaon;Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon;Global Foyer Mall, Golf Course Road, Gurgaon;77.0954319;28.4604444;Mughlai, Hyderabadi;Indian Rupees(Rs.);0;1;0;0;2;4.1;4.25;4;84;2;8.162
2724;1911 - The Imperial;India;New Delhi;The Imperial, Janpath, New Delhi;The Imperial, Janpath, New Delhi;77.218185;28.625443;North Indian, Chinese, South Indian, Italian;Indian Rupees(Rs.);1;0;0;0;4;3.9;3.7;3;272;4;69.96000000000001
2726;1911 Bar - The Imperial;India;New Delhi;The Imperial, Janpath, New Delhi;The Imperial, Janpath, New Delhi;77.218185;28.625443;Finger Food, European;Indian Rupees(Rs.);1;0;0;0;4;3.2;2.95;2;10;2;23.32
16608059;1918 Bistro & Grill;Australia;Tanunda;94 Murray St, Tanunda, SA;Tanunda, Tanunda;138.966064;-34.519619;Modern Australian, Australian;Dollar($);0;0;0;0;3;4.4;4.25;4;339;2;30.0
18355037;1990's;India;New Delhi;KG-1/423, Ground Floor, Vikaspuri, New Delhi;Vikaspuri, New Delhi;77.0796054;28.6384984;North Indian, Mughlai;Indian Rupees(Rs.);0;0;0;0;1;3.3;2.95;2;15;2;2.915
311030;1UP;India;New Delhi;13, Alipur Road, Exchange Store Building, Civil Lines, New Delhi;Civil Lines, New Delhi;77.2252161;28.6762903;Cafe, Italian, Continental;Indian Rupees(Rs.);1;0;0;0;3;3.5;3.7;3;282;3;13.992
312772;2 Bandits Lounge & Bar;India;New Delhi;16, 1st & 2nd Floor, Opposite Sri Venkateshwara College, Satyaniketan, New Delhi;Satyaniketan, New Delhi;77.1670164;28.5876339;Italian, Continental, Mexican, North Indian;Indian Rupees(Rs.);1;0;0;0;3;3.9;3.7;3;1316;4;17.490000000000002
313410;2 Bros Kitchen;India;Noida;Plot 14, C-98, Sector 41, Noida;Sector 41, Noida;77.36176707;28.56952163;North Indian, Chinese, Fast Food;Indian Rupees(Rs.);0;1;0;0;2;3.2;2.95;2;364;3;6.996
17374921;2 Dog;USA;Gainesville;317 Spring St SE, Gainesville, GA 30501;Gainesville, Gainesville;-83.824023;34.300567;American, European, Sandwich;Dollar($);0;0;0;0;2;4.2;4.25;4;350;3;25.0
306505;2 Nice 2 Slice;India;New Delhi;262, Deshbandhu Apartments, Kalkaji, New Delhi;Kalkaji, New Delhi;77.25765813;28.53853483;Bakery, Desserts;Indian Rupees(Rs.);0;0;0;0;3;3.2;2.95;2;17;2;20.405
4398;21 Gun Salute;India;Gurgaon;SCO 35-36, 1st Foor, Main Market, Sector 29, Gurgaon;Sector 29, Gurgaon;77.0631472;28.4681891;North Indian, Mughlai, Asian, Continental;Indian Rupees(Rs.);1;1;0;0;4;3.9;3.7;3;1365;4;23.32
5239;221 B Baker Street;India;Noida;21, Jalvayu Vihar Market, Sector 25, Noida;Sector 25, Noida;77.3379464;28.5843762;Bakery;Indian Rupees(Rs.);0;1;0;0;1;3.4;2.95;2;102;1;4.081
7983;221 B Baker Street;India;Noida;10, Brahmaputra Shoping Complex, Sector 29, Noida;Brahmaputra Shopping Complex, Noida;77.3326668;28.5703556;Bakery;Indian Rupees(Rs.);0;1;0;0;1;3.5;3.7;3;94;1;2.332
312186;221 B Baker Street;India;Noida;PG 30, TOT Mall, Sector 62, Noida;Sector 62, Noida;77.3716062;28.6142808;Bakery;Indian Rupees(Rs.);0;1;0;0;1;3.2;2.95;2;19;1;2.332
3200090;22nd Parallel;India;Vadodara;1st Floor, Tapan Complex, Next To M Cube Mall, Alkapuri, Vadodara;Alkapuri, Vadodara;73.167788;22.307898;South Indian;Indian Rupees(Rs.);0;0;0;0;2;4.5;4.65;5;344;1;4.664
75683;23 On Hazelwood;South Africa;Pretoria;23 Hazelwood Road, Menlo Park, Near, Waterkloof, Pretoria;Waterkloof, Pretoria;28.257074;-25.775722;Street Food, Continental, Burger, Grill;Rand(R);0;0;0;0;3;3.9;3.7;3;135;4;13.35
18434000;24 Plus Cafe & Restaurant;India;Coimbatore;1A, Pollachi Main Road, Eachanari, Podanur, Coimbatore;Podanur, Coimbatore;76.971082;10.96185;Continental, Fast Food, Desserts, Indian;Indian Rupees(Rs.);0;0;0;0;2;3.8;3.7;3;24;4;5.247
301524;24/7 Bar- The Lalit New Delhi;India;New Delhi;The Lalit, Barakhamba Avenue, Barakhamba Road, New Delhi;The Lalit New Delhi, Barakhamba Road, New Delhi;77.227277;28.631407;Finger Food;Indian Rupees(Rs.);0;0;0;0;4;3.5;3.7;3;45;1;34.980000000000004
8842;24/7 Pastry Shop - The Lalit New Delhi;India;New Delhi;The Lalit, Barakhamba Avenue, Barakhamba Road, New Delhi;The Lalit New Delhi, Barakhamba Road, New Delhi;77.22762946;28.63110267;Bakery, Desserts;Indian Rupees(Rs.);0;0;0;0;2;3.3;2.95;2;46;2;10.494
3910;24/7 Restaurant - The Lalit New Delhi;India;New Delhi;The Lalit, Barakhamba Avenue, Barakhamba Road, New Delhi;The Lalit New Delhi, Barakhamba Road, New Delhi;77.22756944;28.63148611;Continental, North Indian, Italian, Asian;Indian Rupees(Rs.);1;0;0;0;4;3.7;3.7;3;419;4;59.466
308559;24x7;India;New Delhi;JP Hotel, 6B, Near Max Hospital, Patparganj, New Delhi Patparganj;Patparganj, New Delhi;77.3095668;28.6342441;North Indian, Continental, Chinese;Indian Rupees(Rs.);1;0;0;0;3;3.1;2.95;2;18;3;13.992
7242;27 China Street;India;New Delhi;27/A, Market, Old Rajinder Nagar, Rajinder Nagar, New Delhi;Rajinder Nagar, New Delhi;77.1855361;28.6417258;Chinese, Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.4;2.95;2;76;2;5.247
311688;27 Grills;India;Noida;Shop 27, D Block Market, Sector 27, Noida;Sector 27, Noida;77.32838832;28.57445006;North Indian, Chinese, Mughlai;Indian Rupees(Rs.);0;1;0;0;2;3.3;2.95;2;159;3;6.996
2437;28 Capri Italy;India;New Delhi;28-A, Defence Colony Market, Defence Colony, New Delhi;Defence Colony, New Delhi;77.2302768;28.5727962;Italian;Indian Rupees(Rs.);1;1;0;0;3;3.9;3.7;3;245;1;17.490000000000002
18245284;3 Pegs Down;India;New Delhi;11/12/14-A, Ground Floor, Southern Park Mall, District Centre, Saket, New Delhi;Southern Park Mall, Saket, New Delhi;77.21947454;28.52748139;Continental, Italian, North Indian;Indian Rupees(Rs.);1;0;0;0;3;3.6;3.7;3;217;3;13.992
17284364;3 Squares Diner;USA;Albany;202 W Franklin St, Sylvester, GA 31791;Sylvester, Albany;-83.8389;31.5308;American, Breakfast, Diner;Dollar($);0;0;0;0;1;3.4;2.95;2;20;3;10.0
7421967;3 Wise Monkeys;Indonesia;Jakarta;Jl. Suryo No. 26, Senopati, Jakarta;Senopati, Jakarta;106.8134001;-6.235241091;Japanese;Indonesian Rupiah(IDR);0;0;0;0;3;4.2;4.25;4;395;1;27.72
17677978;306 North Restaurant;USA;Valdosta;306 N Patterson St, Valdosta, GA 31601;Valdosta, Valdosta;-83.2799;30.8332;Seafood, Southern;Dollar($);0;0;0;0;3;3.9;3.7;3;231;2;40.0
308286;33 Food;India;New Delhi;J-1/13, Gupta Colony, Khirki Extension, Malviya Nagar, New Delhi;Malviya Nagar, New Delhi;77.216837;28.5358021;North Indian, Mughlai;Indian Rupees(Rs.);0;1;0;0;2;3.2;2.95;2;93;2;8.162
18427205;34 Park Street Lane;India;New Delhi;63, Kalu Sarai, Opposite Bansal Tutorials, Hauz Khas, New Delhi;Hauz Khas, New Delhi;77.2036655;28.5417943;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;1;1;2.332
4084;34 Parkstreet Lane;India;New Delhi;Shop 7, Mukherjee Tower, Mukherjee Nagar, New Delhi;Mukherjee Nagar, New Delhi;77.2152884;28.7112918;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;2.9;2.95;2;4;1;2.332
5897;34 Parkstreet Lane;India;New Delhi;DDA Market,Kala Sarai, Hauz Khas, New Delhi;Hauz Khas, New Delhi;77.2096084;28.5602677;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.2;2.95;2;27;1;2.915
349;34, Chowringhee Lane;India;New Delhi;G-37, Ground Floor, Westend Mall, Janakpuri, New Delhi;West End Mall, Janak Puri, New Delhi;77.080281;28.6299004;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.4;2.95;2;86;1;4.081
351;34, Chowringhee Lane;India;New Delhi;93, Opposite Venkateswara College, Satyaniketan, New Delhi;Satyaniketan, New Delhi;77.1684675;28.5884054;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.5;3.7;3;345;1;4.081
5347;34, Chowringhee Lane;India;New Delhi;B-10, Opposite Metro Pillar 21, Model Town 2, New Delhi;Model Town 2, New Delhi;77.1901231;28.7046135;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.2;2.95;2;62;1;2.915
9470;34, Chowringhee Lane;India;New Delhi;UB-101, Kamla Nagar, New Delhi;Kamla Nagar, New Delhi;77.2071483;28.6809045;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.3;2.95;2;86;1;3.498
300844;34, Chowringhee Lane;India;New Delhi;C8/354, Sector 8, Rohini, New Delhi;Rohini, New Delhi;77.1292361;28.7049801;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.3;2.95;2;85;1;3.498
304987;34, Chowringhee Lane;India;New Delhi;V 3 S Mall, Laxmi Nagar, New Delhi;V3S Mall, Laxmi Nagar, New Delhi;77.2861642;28.6367213;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;2.3;2.1;1;45;1;4.081
306034;34, Chowringhee Lane;India;New Delhi;61-D, Ground Floor, Ber Sarai Market, Opposite Old JNU Campus, JNU, New Delhi;JNU, New Delhi;77.1810079;28.5490023;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;3.2;2.95;2;15;1;3.498
18037812;34, Chowringhee Lane;India;New Delhi;23/1, Prem Nagar, Jail Road, New Delhi;Jail Road, New Delhi;77.097151;28.6347982;Fast Food;Indian Rupees(Rs.);0;0;0;0;1;2.7;2.95;2;11;1;4.081
18258778;34, Chowringhee Lane;India;New Delhi;115, Central Market, Ashok Vihar Phase 1, New Delhi;Ashok Vihar Phase 1, New Delhi;77.1729156;28.6933274;Fast Food;Indian Rupees(Rs.);0;1;0;0;1;2.8;2.95;2;7;1;4.081
18303817;34, Chowringhee Lane;India;New Delhi;Shop 9, Block A2, DDA Market, Paschim Vihar, New Delhi;Paschim Vihar, New Delhi;77.1028857;28.6725877;Fast Food;Indian Rupees(Rs.);0;1;0;0;1;2.7;2.95;2;30;1;4.081
18306543;34, Chowringhee Lane;India;New Delhi;Shop 2, Plot 57, Under Dwarka Mor Metro Station Pillar No 776, Sewak Park, Uttam Nagar, New Delhi;Uttam Nagar, New Delhi;77.0334663;28.6191075;Fast Food;Indian Rupees(Rs.);0;1;0;0;1;3.1;2.95;2;5;1;2.332
18427212;34, Chowringhee Lane;India;New Delhi;Shop 68, Vasant Place Market, Sector 6, R K Puram, New Delhi;R K Puram, New Delhi;77.1672543;28.5652136;Fast Food, Mughlai, Armenian;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;3;4.081
18420679;36 lebzelter;India;New Delhi;P 37/38, Pandav Nagar, Mayur Vihar Phase 1, New Delhi;Mayur Vihar Phase 1, New Delhi;0.0;0.0;Bakery, Desserts;Indian Rupees(Rs.);0;0;0;0;1;3.7;3.7;3;39;2;1.749
3362;361 Restaurant & Banquet;India;New Delhi;361, Kohat Enclave, Pitampura, New Delhi;Pitampura, New Delhi;77.1405619;28.6977426;North Indian, Chinese, Seafood;Indian Rupees(Rs.);1;1;0;0;3;3.4;2.95;2;67;3;12.826
18386746;365 Naturals;India;New Delhi;Multilevel Car Parking, Terminal 3, Aerocity, New Delhi;Aerocity, New Delhi;77.087897;28.554463;Continental, North Indian, Fast Food, Street Food, South Indian;Indian Rupees(Rs.);0;0;0;0;2;0.0;0.0;0;2;5;6.996
18322647;366 Junction;India;New Delhi;A-1, 2nd Floor, Near Old Gupta Colony, Vijay Nagar, New Delhi;Vijay Nagar, New Delhi;77.2010382;28.6928867;Cafe, North Indian, Chinese;Indian Rupees(Rs.);1;0;0;0;2;3.3;2.95;2;43;3;9.328
18241537;38 Barracks;India;New Delhi;M-38, Outer Circle, Connaught Place, New Delhi;Connaught Place, New Delhi;77.22285848;28.63302489;North Indian, Italian, Asian, American;Indian Rupees(Rs.);1;0;0;0;3;4.4;4.25;4;840;4;18.656
18435740;38 Degree East;India;Mumbai;Panchkutir, Pawarwardi, Adhishankracharya Marg, Opposite Powai Lake, JVLR,Powai, Mumbai;Powai, Mumbai;72.90849264;19.12199866;North Indian, Chinese, Thai;Indian Rupees(Rs.);1;0;0;0;3;3.8;3.7;3;181;3;11.66
18346996;3Cherryz Sky Lounge & Cafe;India;Varanasi;5th Floor Roof Top,(Above Big Bazaar) Sigra. Opp. IP Mall Sigra., Sigra, Varanasi;Sigra, Varanasi;82.99116335;25.31717627;Cafe, North Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;3;3.2;2.95;2;26;3;5.83
311480;3H Kitchen;India;Gurgaon;B-70, Vyapar Kendra, Palam Vihar, Gurgaon;Vyapar Kendra, Palam Vihar, Gurgaon;77.0310152;28.5088255;North Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;2;2.9;2.95;2;15;2;6.996
18363081;3x Cafe;India;New Delhi;22, RU Block, Opposite Power House, Pitampura, New Delhi;Pitampura, New Delhi;77.1355204;28.7085129;Fast Food, Desserts, Beverages;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;0;3;5.247
18381626;4 Barrels Cafï¿½ï¿½ & Lounge;India;New Delhi;3rd Floor, DE-82, Tagore Garden, New Delhi;Tagore Garden, New Delhi;77.1099433;28.6490845;North Indian, Continental, Lebanese;Indian Rupees(Rs.);1;1;0;0;3;3.5;3.7;3;24;3;13.992
310491;4 on 44 Restaurant & Bar;India;New Delhi;112, Aggarwal City Mall, Road 44, Near M2K Multiplex, Pitampura, New Delhi;Aggarwal City Mall, Pitampura, New Delhi;77.1346226;28.6901424;North Indian, Chinese;Indian Rupees(Rs.);1;1;0;0;3;2.6;2.95;2;49;2;11.66
2100322;4 Seasons;India;Guwahati;Opposite Institute of Social Science, Bhuban Road, Uzan Bazaar, Guwahati;Uzan Bazaar, Guwahati;91.75316667;26.19166667;Chinese, North Indian;Indian Rupees(Rs.);0;0;0;0;1;3.6;3.7;3;142;2;3.498
18454484;44 Grills;India;Noida;Street 3, Sector 44, Noida;Sector 44, Noida;77.339363;28.554041;North Indian, Chinese;Indian Rupees(Rs.);0;1;0;0;2;0.0;0.0;0;0;2;5.83
302212;4700BC Popcorn;India;New Delhi;Ground Floor, DLF Place Mall, Saket, New Delhi;DLF Place Mall, Saket, New Delhi;77.2166406;28.5281701;Fast Food;Indian Rupees(Rs.);0;1;0;0;1;3.8;3.7;3;152;1;4.664
308595;4700BC Popcorn;India;New Delhi;Ground Floor, Pacific Mall, Tagore Garden, New Delhi;Tagore Garden, New Delhi;77.1063438;28.6421648;Fast Food;Indian Rupees(Rs.);0;1;0;0;1;3.2;2.95;2;24;1;4.664
573;4S Chinese Restaurant;India;New Delhi;A-26, Defence Colony Market, Defence Colony, New Delhi;Defence Colony, New Delhi;77.2304115;28.5731228;Chinese, Thai;Indian Rupees(Rs.);0;0;0;0;2;3.5;3.7;3;215;2;8.162
8600;4th Street Cafe;India;New Delhi;14, G Block, DDA Market, Preet Vihar, New Delhi;Preet Vihar, New Delhi;77.2979211;28.642275;Fast Food;Indian Rupees(Rs.);0;1;0;0;2;3.5;3.7;3;145;1;5.83
18439523;4U;India;Noida;Amrapali Princely Estate, Sector 76, Near Sector 72, Noida;Sector 72, Noida;77.3813897;28.5659688;North Indian, South Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;1;3;2.915
16612550;5 Little Pigs;Australia;Huskisson;64 Owen St, Huskisson, NSW;Huskisson, Huskisson;150.6710743;-35.0388698;Breakfast, Modern Australian;Dollar($);0;0;0;0;2;4.1;4.25;4;40;2;20.0
18477658;52 Food Express;India;Noida;B Block Market, Sector 52, Noida;Sector 52, Noida;77.3681073;28.5864134;North Indian, Chinese;Indian Rupees(Rs.);0;0;0;0;1;0.0;0.0;0;2;2;3.498
